vvvvp vvvvv vvvvv vvvpw vvpwv pwvvv wvvpp vvpvv ppwpv pvpvw wvvvp vvvpp wvvww vpvhv vvvwp vvvph 
vppvv pvvhp dvppw vvvvv vvvpv vvvpv ddvwv vvvvv vvpvv pvvvv vvvvv vvvvv vwppv pvppv vdvwc pvvvv 
wpvvv vvvvv vvdpw vvvvv vvwvp dcvpv vvvvv vpvvv wpvvv vvvvv vvdvv pwvpp wpvvv pwvpv wvvvv vvwvv 
pwvvv pvhvv vvpwv vpvvv pwvvw vdvvv vwvvv rvpvv vvvvv vvcvv pvvpv pvvpv pvppv wvvvv vpvvp vvvpv 
vwvpv vvvvw vwvvv vvvvp vhvvv vvvpv vvvwv vpppv vvvpp vwwvr vwpvv vpppv pdvvv vvvpv vwrwv vvvwv 
vvvcv cvvvp vpvvw vvppv vvpvv vvpvv pvvwv vvvwp pvppp ppwpv vpvvv vwvvw vpppv dvpvp pvpwv vvvpv 
vvpvv pvvvv vwdpv vvvvv pvvdv vvvvp vppvp vvvvv vvvwv vpvvp vvvvv wpvvp wvvvv vvvpv pvppv vvvvp 
wvvpw vpvvv vvvvv pvwvv vvhvv pvvvv vvvvp pwppv dvvwv vwvvv vpvvp vpvvp vvpvp pvvvv pvwvp vvvvp 
vvvwv pvpvv vvvvv pvvvp vpvvv dpvvp vwvvw dvvvv pvvwv vvppv vvdvv vvvvv vvpvv vvvvv pdvdv vvvvp 
pvvpp vvvvv pvvvp vpvvw vvpvp vvvvv vwpwv pvwwp pvvvp vvvpv vwvvp vvwvw ppvpw vvdvd pvvwv vvpvv 
vvwvv vwvvv vvvdv pvvvv pwvvd vvvwp vvvvv vpvwh vvvpp vpwvv vvvww pvvvv vwvpv dvwpv pvdpv vvwvv 
vvvvw vvpvv vvvpv vvpvv pvvvp pvvvv wvwvv wvvvv wpvvv vvvwp vpvwh vwvpd pvvpp pvvwv pvpvd pvvpv 
pvvpv pvdvv vvvvp vvwvv pvhpp vvvpv vvpwv vvvvv vpvpp vvpvv vwvvp vvvvv pvvwv ppvvv pphvp vvvvv 
