cssce lsccs ccccc ccccc ccccc scccc scssc scccc csscc lcccc ccccc ccscc cccsc scesc slccc scsec 
ccscs ccccs scclc ccccs cslcs csscc ccccc ccccc sclcc clccs llccc ccccl ccccc cccss ccscc scscc 
ccclc cczcc lccls ceccc ccecc ssscc scccc ccscl cscwc sscsc sccec swccc cccsc ccccc ccccc ccsls 
ceccc wcccc ccccc slccc ccssc scscc ccccc eswsc ccccw ccccs lclsc ccccs cccsc elccc ccccc ccscs 
csscc ccccc cccsc ccccl ccccs cescc lclcc csccc lcscs sscsc scclc ssccc ccscc cscsl clccc csccc 
cclcs ccccs ccccs secsc seccc scccc cccsc ecccs scccl sclll sclcc ccccc lccsc cclsc csccc ccccc 
scccc llcce ccccs ssccs clscc ccccs ccssc llscc cscsc cccsc lccls sscss scscc ccccc csclc ccccc 
ccscs ccscs ccccc sscsc ccccs ccecc lccsc ccccc csccc slccs sccsc uccss scccc wcscc cccsc cccsc 
cscsl scsls ccccc cccec cescc ccllc csccc ccces ccccs csccs ccccc cecss seccc scsce scccl ecscc 
ccccc sslcc lcscc scccc cscce ccwss clccc ccscc ccscc ccscc ccccs scccc csccc ccccc ccecw ccslc 
cccsc cccsc lcccc csccc ccccc ccecc ccccl ccscc ccccc scccs scsee sccwc ecccl ccclc cllcs ccccc 
cclcc ccccc ccccc clssc clwcc cccsc ceelc cccce lsccc cclls ccccl ccclc ccscs scscc csccs csccl 
sscls ccccs ccscc ccccc ccccc clscs csssc ccscc clesc csccc ccccc sccll scccc lcccc ccscc ccccc 
lcscc scslc cesll cscle clscc sclcc clccs ccscs ecscc ccscc sslcc cccsc ccccc lcccs sscss csccc 
ssccc ccccc eccsc cclcc scccl csscc scccs sscss scccc csscc cclcs cscls ccccl scccs ccccc cclsl 
ccccc escce sllcc sscss cccsl csccc clccc cccls scccs ccccs cccsc lclcc csscc ccccs cccsc ccccs 
sssce cccss ccslc ccccc ccccc sccss lcscc ccscc csccs ccllc ccccc csccc sllcc ccscc lcclc ccccc 
lccsc lslls ccccs cclcs ccccc cccce cscsc scsss cscsc ccccc ccecc lcccs ccccs ecece ccscs cccsc 
