ppttp ttttg tgtgt tpgtt ttgtg gtttt tpgtg ttttg ttttt ttgtt ttttp gtwti ttggt ktggt tttgt tpggt 
tttgt ttggg ttptg ttggt twttt ttttt tttpt tgtgt gpttt gkgkt tgttt gtttg ttttt gtttt ttttt tttgt 
ttttg ttggt tgttt tgptp ttgkt tgptt tkgtt ttgpt ttttt tttgt ttgtt ttttt gptgt tttkp ittgg ktttk 
ptttg gtktg gttgt gtgtt ttpig ttkgt tgttt ttttt tggtt tpgtt ttktt gptit gttpt tgtgt gtttt gttgt 
ttgtg tgttg ttttg tkttt wgptt tttgt tttpt ttttt tttgw tgttt ptttk tttpt ptttt tgttt tttkt tttkt 
ttpgp ttttt pgttt tggtg gggtp pgtgt ttggg tttgt tttgt tpttg tttkt ptttt gpttt ttttt tgggt ttktt 
tttgt ttttt tgptt ttgtp ttpgt tgggt kttpt ttttt ttttg tggpp ttggt tgttp gtttg gtgtg tttgt tggtt 
ttttg ttptg gtgtt tgtgi ktttg ttttg gttgt ttttt ttttt ttttt ttttt tttgg tgtpg ttgpt ttgkt ttgpg 
ttggt gtgtt gtttt ggttt ggtgt ttgtt ptpgg gkttt ttttt gtttt tttpp ttgtg ptkit gtggt tggtt ttttt 
gpttt ttttk tttgt ptttt ttttt ttpgp gtttt tgttt gtptt tggtt gtgpt ttptt pttgt ttgtg ptggi ttttg 
tgttp ggttt ttttg pttpt tttgg tptpg ggttg tgttt ttttp tkhpt pgggp ptptg tttgg ptttt tgtgt tttgp 
tgttt ttgkt gtgpg ttitt tpttt tggtt gpgtt tttkt gttgt gggkg tgttg ggtgp pgktg tgttg tttgt gtttg 
ttggt ttptp ttttg tgttt ggtgt ttttg ttgtg ttttg otptt ttttt gttkt ttttt ttgtg ttgtg ttgtt tpgtp 
ttttt tgttt gpttt ttggt ttttw tgtpt pkttt ttttt gtppg tgwtg kttgt tttpt ttgtt ttttt gttgt tgttt 
ktttt tttpp ttttt tttgt tggtt tttit gttpg ttgtg ttttt tttgt ttttg gtpgt tgttt gtttt ptgtg ptptt 
itptt tgttt tgttt ttttg ptttg ptttg tkttt tgtgt ttttp ggttt ttttt gpttt tgttt tgtgg tgttt tpttt 
ttkpt ktttg tgttt ktttt tgtgg tgttt tttgp gtttt ttggt tgptt iptpt ggggt tpttt tittt ggttt gtpgt 
tgttt gggtg tggtt kgtpp ttttg ttttt pttgp ppttg ttttt ttgtt tgttt tpptt tttgg ttttt gtttg wtttt 
gttgt gttgg gttpt ttggt ttttp tttgt tgggt ttttp gtttp ttgtt ttttt ttttw ktptg ggttt tttip gtttg 
ttttt tpggt ptttt ttggt ttttt ttttg ttttt tgttt gktgt ppgtt gtttt ttggt gppgt ttgtt tptgt ttttt 
gtttt tgttt gtttt ttgtt tpttt tggtt gtgtp itttt gttpg tpttg pgipt ttttt ttgtt tkttt ptpgt ttgtp 
ptgot tggpt gtttg tttgt gtttt tgttt gtkgt tgttt gigtg tgtgt ttttg itgtg gtptg ttttg ttttt ptttt 
tgttg ttttt ttttt ttktt tggtt ttttt ttttt tggtt tittt ttgtt tpttt gittg ttttt tttgt gtttt tttgt 
tttgw ppptg tttgg ttkpg ttttg ttttt gpgpp tttgt tgttt tpptt tttgt ttttt tpgtt gttgp tgttp ttttt 
