qryyy qyyyy yqoyq qyyyq yqrqq oyyyq oqqyq qqqqy yoyqy qoyyy yyyyq yyyyy yoyoq qoyyq qyyyq qooyq 
qyyyy yyoyy yyyyy yoqyy yoqoq yyyyq qyyqq yrqyy tyqyq yyoqy yyyyy yyryy qyyyq qqyyo yqyoy yjryy 
yyyyy yyoqq yyoyy yoyoy yyyjq yyqyo yyyry yyyyy yyyqy yqooq yqyqq yyyyy yyqyy yqyqy yyytq oyyyq 
yojry qyyyq qqyqy yyqqq yyyyy yyyyq yqrqy yyyyy qyyyy yyqyy yyoqq qrqyy oyyyo yjyqq yqyyy yyyyy 
yyyyt yyyyy yyoyy qqqqq yqyyy qyyqy qyyor qyyyy jqyyq yyyyy yqyoy yyyqq yyyyy yyqyo yyqyy yyyyy 
yyoyy yoyyq qyyyq yyyyo yqyyy yyqqy yyyyy yyqqy yqqyy qqqyo qyoyy yyyoy jqyyy yqqyy qyqqy yyyyy 
ooyyy yyyyy yyyyy qqyyy yqyyq yqyyy yyyqq yyyyq yyyyy yyyoo yyyyo yyyyy yoyyy qqyqy yyyyq yyyyy 
ytyyq yyoqq yyyoy yqyqy yyyyy yyyry yyyry yyyyq oyyyo yyyyy yqyoy yyyoy qqyyy qyyyq yyyyy yyyqq 
yyyyq oqyyy yqqyy yyyyq oryyy yqyyy yqqyy yyyyy yyyyq jyyqy yyyyy yyoyy qyqyo yyyyy yyyyq qyyyy 
yyyyy qryyy qqyyq yyyyq yqyyo yqyyq yyyyy yqyrq yyooy jqoqy oyyyy yyqqy yyqqy oqyyy yyyyy yqyyq 
yyyyy yyyyy yyqyy yyqyr yyqyy yyyyy yyyqy yyyyo ytyyy yyyjy yyqyy yyyqy yyyyy yyyyy yyyyq yooyy 
qyyqy yyqqy roryy yyyyy qqyyy yqqyy yqqyo qyyyy yoqyy yqyqy yyyyq qyqyy qqyyy yyyqy yyyqy qyyqy 
yyyyy yyyqq yoyyy yyyyy yoqqy yqqyy jqyyy qyqyy yyyyy yqqyy yjyyq oyyyq yoqqq qylyy yyyyy ryyqq 
yyqqy yyqqy qyqyq yyyyt yyqyq qyyyy yyyqq yqqyq yyqqy yyyyj yqyyq oyjqy oyqyy yyyqy yyyyy yqyyy 
yqyqy tqyyy yqyoy yyyyy oqqyy yyyyy yyqyy oyoyq yyyyy yqyyy yyqqy yqyyy yqyqy ooyoy yyyyy qyyyj 
yyyyq yyyyy yryyy yyyyy yyroo yqyqo yyyyy yoyoq yjyqy yyyqy qyyyq yyyyq qyyyy yyyyy yoqyq yyqyy 
jyoyy yyqyy oyyyy yqyyy yyyqy oyqyq yyyoy oqyqy yqqqo yyyyy qyyqo yyyyq qyoyy yyyyy yyqqq yrqyr 
yqyqy yyyyy yyrqy yyqyy yyoqq yqyyy yyyyo qyqyq yyjyy yyyyy yyyyo qyqyo qyqyq yyylj yqyyy yqyyy 
qqqyq yyqyy yqoqo yoyyq yyyqo yrqqy yqyyy yyyqy yqyyo yyqyy yyyyq yyyjy oyyry oyyqq qyyyo yyyyy 
yyyyy yyyyq yqyoq yqyry oryyq yyyyy qyyyq yqyqq yyyyy yyyoq yyyqy qyyqy yyyqy oyyqq yqoyy oqyyq 
yyyry yyyyy yqyyy yyyqq yryqy yyyyy yyyqo yyyyy qoyyy yqyyo yqyqr oqqoy qqqyq yojyy yoyyy yyqyy 
yyyyy yyyyy ryyyy qyoyy yqyqo qryqq yyqyy qqyro oyqyy yyyyy yyyqy oyoyy qqqqo oqyyr jyqoo ryoqy 
qyjyy ryyyy yyyyy yyyyo qyyqy yyyqy qyqyy qqyyy yyqoy qoyyy yoyqo yyqyy qyyry oyyyq yyyqy yqyyo 
