rzrkr zrzrr rrrrr rgzkz rrrkk rzrrr rrrrr zrkrr rrrrk rrrzr rzrkr rrrzr zrkrr rzrrk rrzrk zrrkn 
rrrrr rnrzr zrrzr rrrzz rrrrr zrzrk rrkrr rrrkr zrrrr rrrrr rrkrr nrrrr rrrzr rrrrr rrrkr rrrzz 
zrrgr rzrkz rkrrr rrrrz rrrzr rrrrz rrrzg rrzzk grkrr kzrrr rzzrr rrrrr zrrrr rrrrk rrrzz rrkrr 
rzrrr rxrrr zrrrr krrzr rrzrk rrrnr rzrrg rrrrr zrrrg kzzzz zzrkr rrcrz rzrrr rzrrr rzwrr zrrrr 
rrrrr rrrzr kzrkk rrzrz rzkrz rkrrk rzrrk zrrrr rrrrr rrrkk zzgrr rkrrr zrrrr rrzrk rzrrr krrrr 
zrzrr zrrzr rzzrr rrrrr rrzrr rrrrr nrrrr zrrrr rrrrz rrrrr rzgrr zrzrr rrrrr rrrrr rnrrr rrrgr 
zrrcr rrrrr rrrrr rrzrr zrrzr rzrrr rrrzr nrzrr rkzrz rzzkz rrrrr zrzrz rrrrr rrrrr zrrrk rrrkr 
rrrzz zzzzr zrzrr zkrrz rgrrr rzrrr rrnrk rzkrr rkrkz rkrrk zrrrr rrrrr rrrrr rkzzr rzrrz rrzzr 
zzrrr rrrzr rrrrr rrrrz rrzgr rrgzr krrrr knrrr rkkrr rrkrk rrrrr zrrrr rzrrz zrrrr rzrrz rzrrr 
zkrrr rrzkr rrrrz rrrrr rrrzz rrrzr rrrzr rrkrr zrrrr rrrkr rrrrr rrrrr rzrrr zrrrr rrrrz zrrrz 
rrrzr zzzrr krrwr zzrkr rrzrk rkzrr rrzrz rrrrz rrrrr rrrrn rzzkr rrrzz rrrrr rzrrk rzrrr rrkrz 
zggkz rzkrk rrrrz rrrzr rrrrr rrzrr zgzrr rrrgr zrrrr rkrrr rzkzr rrrkr rrrrr rznrn kzrrr rzrrr 
rgkrr rzrzz rzrgr zrrrr zrnrz rzrrr zrrrr rrrzk rrrrr rzzrz rrzrr krrrr zrrzz grzkr zrrrz rrkzr 
rrrwr rzrrr zrrkr gkrzr zzgrz rnrzr krzkr rrzrr krrrr rrrzr rrzrk rrrrz zzkzr rrrzz zkrzr rrrrr 
rrrrr rrrrk zrrzg kzzrk rzkrk rrrrr rrrzr rrrrr rkzrk rzrrr krrrr rrzzz rrkzz rrrrr rrrzz rzrrz 
rrnkr rkrrr rrzzk grzrr rzrkr rzrzr rkrrr rrkzz kzrrr rrkrr kkrzr rrrzr rrrrz rrzzr rrrzz krnrz 
rrrrr zzzrr rrrrg gnrkr rrrrr kzkkr rrrzr krzrr zzrrr rzzrz rrkzg zrrrr rrrrr zrgrk rzrkz rrzrk 
zrzrr rgzrz ngzrr rrrzr zzrrr zrrrk zrrrr rrrzg rrkrr zkrrr rzrrk rzzrz zrrkr rrrrr ggzrz rkkrk 
rrrrr rrzrk rrzzr rrrrr rrrrr rzrzr rzzrk rrrrk wrgzr rrzrk rkrnr rzzrr zgrrr rrrzr rzrrr zrrrr 
rzzzr zrrwr rrrrr zzrrr rrzrg zkrrr zrrrr rrrrg rzzrr zzrrr grrkr rrzrr rrzrr rzkkr rrkrr wzkrz 
rkzrr krzzz knrrr zrzrz krrrr rzzrr rrrzr rrrzr rrrrr grrrr rrzrr zrrkr zkgrc rzrgr gzrrr rrrrz 
zrrkz zzzrz rrrrr rrgrr rzrzr zrkkk rrrrz rnzrr rrrkr grrrk rrrrz rrzrr rrrzk zrzzr zrrrr rrrrr 
rgckr rrzrr zrrrr zrzrr zzrzr zgrrr rzrrr rrrrc rzrrr krzrr rrrrz rngkz rrrrr rrzrz rzrzr rkzrr 
