oqojq oqqqq jqqqq oqqqo qjoqq qoqqq qqqqo jqqqq qoqqo oqqjq qqjqq oqqqq oqoqq qlqlq qooqj qjqqo 
qqqqq lqoql ooqqo qqjoq qqqqq jqqoq qqqjq qqoqo qqlqo oqqqq qoqqq oqqqq qoqoq qqjqq qqqqo qjqqq 
qooqq qqooq qoqqq qqqqq qooqq oqqoo jqoqo qqloo qoqoq qqoqq jqqoo qqlqq qqqqq qqtoo oqqqq qoqqo 
qqqqo jqooq obqqj qqjqj qqqjq qqqjq jqqqq jjqqj oqqqq qbobq oqoqq qqoqq oqqqq qqoqo qoooq qqqqb 
qlqqq qqjoq qjlqo oqoqq qqqoq ooqqq qjqoo qolqq qqqqq oqoqq qqqqq joqqq ooqjq oqoqo qqjqq qqqqq 
ooqqq qqqqq qloqq qqqoq qqqqo qooqo qqqjo qqoqq ojqqq ooqqt oqqqo qoooo qqjqq jooiq lqqot oqqqo 
oqqqq qboqq qqqqq qoqoq qqooq ooqqo qoqqj qqoqq qjqoq olqqj obqqq qqqoq oqqoq oqqqo olooq ojoqq 
qqqqq oqqqq jqqqq qqqqo qoqqo qqqqq qqoqo qjtqq qqqoq qjqoq lqooj qqqqq qjqqq qqjqo qoqqo qjqqo 
qqqjj oqooo qqqqq qqoqq ojqqo qqqqq qjqoq oqqqq joqoq qoqqq qjqqq qqqqq qoqqq oqqqq oqqqo oooqb 
oqqqq qqqqq qqqqq qjqqo qqqqq qqloq ooboq qqqqo oqqoq qqqqq qjqqo lqqqq qqqqq qqqqq lqooj qoqqq 
qqqqj qqqqo qqqqq qqqqo jqqqo jqjqq qqqqq qqoqq qqoqq qqqqq qqqqq lqqqq oqqqq qqqqq oqqqq qqqqq 
qqqqq qqqqq qoqqq ojqqo qqqoq qqoqq oqqqq qqqqq qqqjb oqqoq qqqqj jooqq qqotj qqqqq qqqqq qqoqq 
qjqoo qqqqo oqqoq qqloq qqjqj qoqqq qqqoq qqqoq qqqoq qqqjq bqbqo oqoqo ojqoq oqqlq oqqqq qqooq 
ooqqq oqqqq qoqlq qoqoo jqqoq qqqoq qqjqq qqooq qoqqo ooqqq qqqoq jqqlq qqqqq qojqj ooooq qqqqq 
qqqoq qtjqq oqjjq qoqqq qqqqq oqoqq oqqqq qqqjq qoqjq ooqqq oqqqo ooqqo oqqoq qqoqq qqqqj qoqqo 
qqqqq qqqqo qqqqj qqqqj oqqqo jqqbq qqqqq oqqoq llqqo qooqj jqqol qqqqq qqloq qqqqq jqqqo joqqq 
