ttttt ttttt qqtdt tqttt ttttt dtttt ttttt qtqyt qttdq qqttt ttqtq tttqt tdttt tqqtt yttqt ttstt 
tttqt ttttt qtqtt ttqdt tyttt ttttd tydtt qqttt tttqt ttqtt ttttt ttttj tttqq ttttt ttdtq ttdtt 
ttttt ttttt tyttt qqtdq tqytd qtttt dttqq qtttt ttqtt qtqtt qtttt dtdtq tqttt ttytq ttttt tqttq 
tttqt ttqtt ttttt tttqt ttttt tqttd tqqtq qqtqt tdttt ttttq ttqqq qqtrt tqtqt ttqqt tdttt qdqqt 
qtqtt ztyqt qtttt ttdqq qdttq ttqtt tttqq tqttt ttqqt qtttt tqttq tyttt tqttt yttqq qtttt qdttt 
qqttt ttttt tttdq qtttx qttqt qtttt tttqd ttttt ttttd tqdtq qdqtt ttttt tqytt ttttt qttqy qtttt 
tqtqt qtttt qqttq qtdtt qqttt qtttd ttdtq ttqtd ttqqd qtttt tqttq qtttt tttrt qttrt qtdtt tqqty 
tqttq qtqtr tqttt ttttt qtttr tdttq ttqdq tqqqr ttttt ttttt qtttt ttqtt ttqdd tdqtt tqttt ttqqt 
tqdtt ttttt tqttq tqtqq tqtqt ttqtt tttqt ttttt tqtqq ttttt qqttt qttqt tttdt ttqqq tqqrt tttty 
drtqt ttttq qttdq ttytt qqttt tttqt qqtqt tttqq tqtdt ttqtq tqrtq ttqtq ttqtq ttttt ttttd tqtqt 
tttqt dqttt ttttq tqtqq trtqt qdtdq tttqd tqqqt ttttd tttqt qdtqt ttttt qtttt tttdt tqttq ttqtt 
ttdtt qtqtt qqqqt qtttq ytdqt tttqy qtttd ttttt ttqqq tqttt dqtty ttttr qtttt ttqtq ttttt tqttd 
ytttt tyqtt qtttt tqyqd ttttt tqtdt ttqtt qtdtq ttqtt qqqtt tqttt ttttq tqttq tttqq trttt ttttt 
tqttd tqtqd tqqtq ttttt tttty tttqt qttdt tyttt ttttr tqttt tttdt tytdt ttttt ttttt ttdqd qttqd 
qtddt ttttq qtttt dddtt ttttq tqtqt ttttt dtdtt tttqt qtttt tqttt rdqtt qtqtt ttttt ttttt qtttq 
dqtqq tqqtt ttttt qtttt ttytt ttdqt rdtdq tttzq ttttt tttqq dtdtt drdtq ttdyt tdrqt qtttt tdqty 
ttttq qtqtq qtqtt tttqq ttttq tqtqq tttdt ttttt yttyd qqqqt qqttt qttqt ttttt ttttt ttdqd ttytq 
tdttt ttqqt ttttq qtqqt tdttt tqqtt ttttt qtqtt tttqt tqttt qtttt ttttt tqqtt qtttq ttqtt qtttt 
