rrdrd rrdrr rdrrr rrzdz dzrrd rrrrd rrrdr rrrrr zrrrd rrrdz rrrrr drrrr dkrdr rrdrk rdzrr rdrdr 
drrrr drddr rdrzr drrzr rrrrr rrdrz rdrrr drrdk rdzdy rdrrd rrrdz ddrrr rrrdk rdddr zrzrr rrzrr 
rdrrr rrrrd rdrrr rrzrr zkrrr rrrdr rkrrr rrrdr rrrdr rrrrr rrkrd rrkrr rrdrr drrrr rrrrr rzrrr 
rrkdd rrddd dddrr rrrrd rrdyr kdrrd ddzrd rrrrz zrddr rkrrd rdrrk rrrrd rrrrd rrdrr drrrr rdrrr 
drdrd rdrrr errrr rrrrr ddzrd rrrdr ddrdd rydrr drzdr rrrrr rrrrr rrrkr rdrrr rrrrz rrrrr rdrdr 
zrrrr rrrrr dzrrr drdrr zrrrr rrrzr rrrdd errrr rrzrr rrrrd drrrk rrzdr rrrdr rrdrr drrrd zrrdd 
rdrrr drrdr rrrrr zrzrd rdrdr krdrr rzzrr zrrrk rrdrk krdzd rrrdr rrdrr rrrdr rrrrr rdzrd rddrr 
rrrrr ryzrr krddd ddrzr rdrdr zddrz rrrrr rzrrr zrrrr drddz rrrzr rrrdr rrrrr rzrrr rrrrd rrrrz 
rrrrz rdrrr drrrr rrrrr rrzrd zrrdr rrrdr rrrrd rrdrr ddrzd rdrrr krrrr rrrrz rrdrr zrrdd rrrrz 
drrrr rrrrr rddrr rdrzr rrrrz rrrdr rdrdr rrrdd rrdrd rrrrd drrdd rdrdr rkrrd rdddr rrzrr drrrd 
krrdr drrrr drkrk rrrrd rzkdr rrdrd rkrkd rzrrd drrrd rrrzr rrdrr ddrrr rrrrd rdddd rrrrr rdzzr 
ddrzd rrrrr rrrrd rrrrr rdrdr rzrrd rrrrr rrrdr rdrrr rrrrd drrrd rrrdd rrrzr rrrzr rrddr rddrr 
rrdrr drrdr rdrrz rrdrr drrrd rrrdr drzrd rdrdr rddrr rkrrr rrdzr rrkrr rrdkz rrrrr rrrzr drryr 
rrrrr krrzr rrrrz rdrrd rdrzk rrdrr drrrr rrdrr rrrrr rdrrz rrrrr qkrrr rrrrd drrdr rrzyr rzrrr 
rdrrr rrrrr drrrr rdrrk rrrrr rrrdr rdzrr rrrzr rrrrr drrrr drrdr rrkrr rdrrd zrrrr zrrdr rrrrr 
rrrdr rrrdr drrzr rrrrr rryrd rrrrr drdrr ddddr dzrdd drdrr rdrrd rrzre rrrrd drzdr rrrre rrrrz 
rrrrr rrrer drrdd rdrrd drrdz rrrrd rrrdr errdr rrdrd rdzdd ddrrr rrrrr rrrzd rrrrr rdrrr rrdrd 
zdrzr rrkrr drrrd rzrrr rzdrr rrdrr rrrrr rrddd rdrdr rrrrr ddqrr rdrrr rkzzd zddrd rzrrd rrrrz 
rzrdr dkrrr rdrdr rrddr rdrdz rrrrr rrrrd drrrr krrrd rdrrr rrrzr yzrdr rdrzr rzrdd rdrrr drdrd 
rrddr rrrdd rrrrr rrrrr rdrrr rrrzr rrdrd zzrrr rrdrr rrddz rrddr rrrrr rdzrr rrrdd rrrrr rrrdr 
rrdrr rdzrz rzrrr rrkdr rrrrz rdzdr drrdz rrrdz rzrrr rrrrr drdkd rrdrr drrrz rzzzr rdezr ddrrr 
rrrrr krrzr zdddr drkdr rrdrz rdrrr rrrrr rdrzr drrdd drrrr rryrz rzrrz rdrrr rrrrk errdr rrrrr 
rrrrr krrdr rrrrz rrrrr rdrrd rddrr rrrrr drrdd rrrzr rrrrr krrrr drrrz rrrrr rrdrr rdrdd rdrrd 
rddrr rrrrr rrddr rrrdd krrrz zrddd rdrdr zrrrr krkrd rrrzr rrdrr rkzdd rrrdr rrdrr rrrzr rkrrr 
rrrrd rkder rrzrr rrerr kddrr rrrrz rrrrr rdzrr zdzzd zrrkd rrrrr rdrzr rrdrd drkrr rrdrz rrdrd 
rzrrr rrrdd rrrrr rrrrr rdrdr rdrrr rdrrr rrred rrdrr drrrr rrrzr rzrrd rrrdz rrrrz rrrdr drrrr 
zrrrr rrrrr drrrr drdrr rdrrr rzrrr rdrdd rrrrr rrddr zrrrr rrrdd rrrde rdrrr rrdrd rrrdr drrrr 
rdrrr dddzr rrrrr drrrr dddrr drrkr rdzzk rdrrr ddzrr drrrr rrdrz rrrrr drrrr rrrdr rrzrr rrzrr 
zrdrd rrdrr rrdyd rkrrr rddrd rrrrr rzrdz rzrdr rrrrr rdrrr rrrrr rrrrr rdrrd rrdrz rrrrr rdrrd 
rzrrr rdrrr rrrdr rrrrd rrzdr rrzrz rrrrd drdrd rddrr zrrdr rdrrr rrrrd rddrr rrrrr rzdrr rrrrr 
zrrdr rrrrd drdrr rrdrd dzrdr rrzdr drzrr drddr ddrrr rrezr zrdrr rrrrr rrrdz drzzd rdrrr rdrrr 
rdrrr rrdrr rdrzr rrdrr rdrrk rdrrr rrrrd zdrdr rrrrr rrdrr drrrr rdrzd dddrr rrrrr rrddd drkrr 
rrrrr rdzrd rdrrr drrzr drrdr rkrrr drzrr rrrrr drddr rerrr drrrd edddd rddrz rdrrr drrrd drzrd 
drzzr rrrrr rrrrr drrrr rdrrr zrrdr rrrrr rdrrr rrrre rrrdr rrrzz ddzrz rredz rrrrz rkrdd rrrrd 
rrrrr drddr drrrr rdrkr kdrzr rrrrr rrrdd rrrdr zrrrr zdrrr drrrr rdrrr rrrzr rrrrk rrrrr rrrrr 
