sqqqr qgqqr gqggq qqqqr qqrgg qrqqq qqqqq qgqqq qqqgq qqqqq sqgqg sqgqq qgqrq gqggg qqqqq gqqgg 
qqqqq qqqqg qgqqq qqqrq qqggq grqrr qgqqq rqgqq qqsqg rgqgq gqgqq qqrqq gqqgq qqrqq qsqqg qqqqq 
qsgqq qqqqg qqqqr qqrqq qrqqg qqgqg qggrr gqqsq qgqqq qgsgq rqqrq qsqgq ggqqq qqqqq gqqqq qqqqq 
qqgqq qqqqr qqqqg ggqgg rqqgq qbqqr gqqqg grqqq qqqqq rqrgq gqqqq qqgqq bgaqq qqqqq qqgrg qggqq 
qqqgr qqgqq ggqqr qqgqg qqqqs qqsgg gggqq gqgqq gqqqq ggqgq qqqqq rqgqq qgrrq gqqgg gqqsq qqrgg 
qqqqq qqrqq gqqqg rqqqq qrgqr qqqqq qqqqq qqqqg qqgqg rqqsq qgqqq gqqqg qgqqq qqbqq ggqgq rgqqr 
qqqqq rqgrg qrrqr qqqqq gqqqq qgqqq qsqrq qqqqq qgqqq bqqqq rgqgq qqqqq qqqqq qbqqq rqqqq qqqgg 
qggqq ggqqq qqgqq qqqqr qgqgq gqqqg qqqgq qgqrr qqqqq qqqqq rqqgq qqqqq qqqqq qgqqq rqqgr qqqgq 
qrqqq qqqqq gqqqq qqgqq qqqgg gqqqq gqgqq ggqqq qqgrq rggqr gqgqg qqqqq qgqqg qqbqs qqrgg qqqgg 
qqqqq qqqrg ggqgg qqqrq ggqqr qqrgq qqqqq gqqqq gqqrq rqqgq gbrqq ggqqq qqqqq qqqqr qqqrg gqgqg 
rqqqg gqqqq qgrqg gqqgq qqqqq sqqrg qqqqq qqqqq qgqqq qggqq qgqqq qgqqq rggqq qqgqq qqqgq qgqqg 
gqqgq gqrgq qqqqg qqgqg qqqqq qgsrq qqqqr rrggg qqqgq qqqrq qqqqg ggqqq sqqqq qggrq qqqqq qgqqs 
qqqqr sqggq qrqqg qqqqq rqqqq qgqqg qgggg qqqqg qqgqq gqbqq qqgrq ggrqr gqrqq qsqgq gqqqq qrsgq 
qqqqq qgqgq qqqqq qgqgq bgqqq rgqqg qgqqq qqqqr ggqgq gsbgq rqvgq gqqqq ggrgb qgqqq qqqqr qggqq 
qqqqq qqsqq qqqrq qgqgq qgqqq rqgqq ggqqg qgqrq qqqqq sqqgq gqbqq gqqgr gqrqq qqqrg qqgqq qqgqq 
qqqgg qgqqq qqrgq rqqqq qgrqq ggqqq qqgqq gqgqq ggqqq gqqqq qrqqg qqqgb qbgqq grqqq qqqgq qqqqq 
qgqqq rqgqq gqqgq rqgqq qqqqq qgqgq qgqgq qggrq gqqqq qgqqq gggqq gqqqq qqqqg sqqqq gqqgg qqqqg 
qqgqq ggqqq qqqqs qqrqq qqqqg rbqqr qqqqg qqqgq qggqq gqqqq gqqqq gqqqg ggqqq qqqqq qqqgq qqqqq 
gqqqq gqqqg qvqqq qqqqg gqggq gqqqq qqgqr rgggq rgqqg qqgqq gqqrq sgqqg ggqqq qqrrq gqgqg qrgrq 
ggqgq qqgqg ggggg rrqqg gqqqq grqqq gqggq qqbqq gqsqq qgggq sqggq qqqqq rsgqq qrqqq grqgq qqqgq 
