rnrrr nrarn rrnrr rrrrz rrnnr pnpnr rprnr jrrrn rnprn rrnrr rrrrr rrnrj prznr nrnrr rrnrz nnznr 
rrrrn rrrzr nzrrr rnnnz rrnpr rrrgr nrrnr nrrrr rzrrr rrrrz rrrrr rrnnr rrppn rrnrr rzrnr rnrrr 
rrzrz rrrrn nrrrp znrrr rrrrn nrrnr rnrnr rrrrn nrrrr nnrpr nnrnr nrgrn rrrrz nrrrz rrrrr zrnrr 
nnrrr rzzzz rrrnr nrrnn rrnrn rzrrn rnrrr rnrzr rrzkn rrrnr rnrnr rrrrr nrrrn rrrrp rnrrz rrrrr 
rrrpr nrrnr nrrrr nrnrr zrrrr rrnrr rjrnr znrrn rnrrr rrrrn rrnpr rnrrn rpnrg rrrrn rrnnr nrrzp 
rrrrr zrrnr nrrnr nrrrr nrrrr rrrnr nrrrr rnrnr rrrrr rnrrr nrrrr zrzrr rrrjn rnnnr rrrnr rrnrr 
rzrnr zrrnr rrrrr nrnrn zrrrr rzrrr rrrnz rrrrz rrjnr rrgnr rnrzz rrnrr rrnrn rrrrr rrrnn nnrrr 
rrrzn rrrnr znrzn rrzrr rnrrr rnrzn zrznn nnnrr nrrrr rrrzn rnrrr rnnrn rrnrr rrprr znnrr rznrr 
nrrnr rrrzr rrrrr nnrzn rnrrn nrrrr rrnnr nnprr nnrnr rrrrr rrrrn rznrr rrrrr rrnrr nrrzr rnrrr 
rrnnr rrrrr rrrrr rrnnr rnzrn rrrrr pnrnr rrrzr rrnrr rrrrr rnnzr rrrrz rrrnn rzzrn rnrnn rrrnr 
prrrn nrrrr rrnnr rrrrr rgrnr nrrrr nrrzr rrrrz prrnn rnrrr rnzrr rrrrn prrrn rrrrr nrrrn rrrnz 
rnrrn rnrrr rrnrr rrnrr rrrnr znrrr nzrnn rrrrr nrrrr rrrnr rnrrn nrrrr rrrnr rrrpr zzrrr rnrrp 
rrrrr rrrnn rprrz zrrnp nrrnz rrnnr zprrr nrrrr nrrnr rrrpr nnrnp rrrrn rrzrr rnrrr nrnpr rrrrr 
nnrnp rrrnn rprrn rnrpn rrrrr rrrnn rrnrz rrrnr rrnrz rnzrn nrrrr rnrzr nrrrz rprnp nnrzr rrrrn 
rrrnr rrnrr rnnrn rnnzr grrrn zrrrr nrnrn nrznn rrrzr nrnzr nrnrn rzrrr rzrnn rrnrz rrnnn nzrzr 
rrrrr rzrrr prrzr zjrnz rrnrr rrprz rrnnr nzrnr rrrnr rrrrr rprnr rrgrr rrrrr rzzzr rrrnn rrrpr 
rrrrr rrrrr rrrnr rzrrr rrrrn nrrrr znrrr nrrrr rrrnr nrrrr nrznr rrrrr rrrrn rrrrr nrrnr rrrrr 
nrrnr rnrrr rrrnz nrrrr nrrrn zrrrn rnrrn zrrrz rnrrn rrrrz nrnrn rrrrr pnrrr rrrrr rnnnn nrrrn 
rrrrr rrrnn rrnrn zzrnr zrnrr nrrrr rzrrz nrnrr pnrrr rrrrn rzrrr rrrnr rrprr rrrrn rnrrr nrrrp 
rrrrr rrrrr rrrzr rzrrn rrnrr rrnrz rnrnp nzrrr nnpzr rrrnr nrnrn rnrrn rnnrr rrrrr rnrrr npprr 
rzrrr rnznr rrnrr rrnnr rrzrn nrrrr nrrrr rrrrr rnrpn rrzrn rrznr pnrpr rrnnr rrnrn nnrrr nzrrr 
rzrrr rpzrr rpnnr rzrrn rrrrn nrrnz prrrn nnnrr nrrrr nrrrr nrnrr rrnrr zrrrn zrrrn rzrrr prnrr 
rrrrr rzznn rrrrr jzrrr nnrrr rrrnr rzrrn nrrnp rrrrr rrgrz nrrrn zrrnz nrrrr zrrrr nrrrn nrrrr 
nrnrn rnrrr rrrrn rrnrr rzrrr rrnrr rnrrr nzrrr rrrng rnrzr rrnnr rrnnn rrnrr rrrrr nrrrr nrzrr 
rprrn rnrrn nnrrn nrrnr nrrzp rrrrr znrpr rrrrr zrrrr rznrr zrrrz nnrrn rnnrn rzprn ngrrr rzrzn 
nnrnr rnrrn rrrrr rzrnr rgrrr rnrrr nnrrr rrrrn rrrrn rrrrz rrnzn nrzrr rrrrr rrrrr rnrrr rrzrr 
nrrrr rpnnr zrrnr rrrzr zrrzn rrrrr znrrr rgrrr rrrrr rrnrp rrrzr rnprr rrrnz rrrrn nrrrr rnzzp 
rrkrr zrrnr gznnn ngnrz zrzzz rrzrn zrrrr rrzrr rprrr rrnrr rnnpr rznrr zrrrn rrrrr nrrrr nznrr 
rrrrr rrnrr rrrzr rrrrr nrrrn rzrrr rrrrr rrrzr rnrrz rnnrr rrrnr rrnnr rnnrr rnnnr rrzrr nrzrn 
rnnrr rrrrn nnprr rrnrr rrnrz rrzpr rrrnr rrnrr zrrrr rzrrr ngrrp rnrrn rrrrr rnrrr nrrrr rrnrn 
zrnrr nrzrr rnrrr rnrnr rrznz nrrrr rznrr rrrrr rrrnr nznrr mrrrn nrrrr rnrrr rnrzr nrrzn rrrrp 
