nqqqj qqdqq qqqqn ndqdq qdqnd qyqyd qqqdq qqyqq qdddq ddqqq qqqqq ddqqd ndqqq dyqdd qnnqd qnddq 
qqdqn qqddq ydqnq qqqqq qdqqy qdqdn qqnqq ndqqd nqqdn qqqqq jqqqd qdqqq qqqdq dqqqd qyndq qqqnq 
qqqqq nddqq qnnqd dqqqy qqddd qqdqq qqqqq dqndq qqqdd qqdqd qqddq qdddq dkqqq qqqqq qqqqq dqqqq 
qqdqq dqqdd dnqdq nqqqn dqqyd qqqqd qqdqq qdqdq qnndq qdqqq qqqqd qqqdq qnqqq qnjdq qqdqq ydqdq 
qddqq qdddd qnqdy qjdqq dqqqq qdqqq dqdqn nnqqq dqqqq qqqqd ddnqq dddqq qqdqq dqdqq qqydq jqqdd 
qqndq qnqqd qqjqq dqnqd nqjdy ddndn qdqqq qndnq qdqqq qqqdq dnqqq qqqqq qdqqq qnqdq dnqqq qqdyq 
dqqdd qqqqd qqqqq qqdnq yqdnq nqqqq dqnqq qqqqq nqqqd dyqqd qdyqd qqqdq ynqnq qqqqd nqqqq dqddq 
qqyqq qqyqq qdqqq qyqnq dqqqq qdqdq qqqqq qnqdd qqqdq qqqqq qqdqd yqqqq qqqqq qqnqn qdqqq qqqqd 
qnqdq dqnnq ndddq djqqq qqydq dqddq qqqqq qdqqq dqyqd qqqqq qqqqq qqqqd qnqnq qqdqq qdqnq qqqqq 
qjqqq qqqqq dqqdq qnqqq qnqqq qqnqq dqqqd qyqdq dqqqj qqqqd qqqqd qqqqq qqdqq qjqqq qqqqq qqqqq 
qqdqd dqqqq nqddn qynnq qqqdq jqqqq nqqqq nyqqq nqqqq qqqqd qqyqy qqqqq qdqqq qqdqg ndnqd qqdnq 
qqqdq qqqqd nnqnq dqdqq qnqqq dqqqd qqqdd qqqdq ydqqd jqddq qqyqq dqqdq qqqqq qqqqn nqqqd qqqqn 
qqqqd qqdqq qqnqq qdqqq qqqqd qqqdq nddqq yqqqq qqqyd qdqjq dqqqq dqqqq qdqnd qqqqd qqqqq qqddd 
qqddn qqqqq yqqqd qqyqq qqdqy qqqdd qdqqq qqdqq qqqqq qqqnq qqnqq qqdnq qqqqd dqqdd dqddq qqqqq 
qndqn qdqqq qqqqq dnddq nqjqq qddqq dqqqq qqqnq dqdqd qqdqq qqqqn qqqqq qqnqq nqydq dqqdd qqqnd 
dqqqq qdqqq qdqqn qdqqy qddqq qnqdn qqdyd qdqnq qqnqq qqqnd dqqqq qqqqy nqqqn qqqqq qqqqq ddqqn 
qdqqd qqqqq qqqqq qqqqq qqjdq dyqqq qqqqq qqqqq qqqkq qqdqq ddqqq qqqqd qdqqq dqdqd qqqqd yqqnq 
dqqqq qqnqq qqqjq qqqqq dqqqq qqqqq qyqqq qdqqd qnqqq qqqqq dqqqq qqqdd qdnqq qqqdq qdqnd qqjnq 
qqqqd qnnqq ndyqq qddqy dqqdq qdqqd qqqdq qqqdd nqnnq dqqnd qqqqq qqdqq qqqqq ddqqd qddqq qdqnq 
dqqqq qqqdq qqndq dyqqq qqqqq qqdnn qqdqq qnqdq qqqqq qqkdd qdqqq qddqd dqqqd ddqqq qqdqq dqqqq 
qqqqq nqqqq nqdnd qqqqn qqdqq qqqqd qqqqq dndqy ddddd qqqqq dqqqd qdqqq qnqqd qqnqj qqqdd qqqqq 
qqdqq qdqyq dqdqq qqnqq qdqqq qnqqq qqdqq qnqqq qdqqq qdqnd dqdqq qqnyn qddqq nnqqq qqqnq qqqqq 
qqqqq qdqqq nqdnq qqqqq qqqdq dqqdy qdqdq dqdqq nqqqq qdqqq qqqqq qqdqq ydqdd qqdqq qqqnq qddqq 
qqqqq qqdyq qqqqd qdqqy dqqqq qqdqq dqqqq nqdqq qddqj qqqqq qqnqq nnqqq qqqqq dndqd qdqqq qqqdq 
qdjyq qqdqn qjddq qqqqq ndjqd dqdqd qddqq dqqdy qdqqd qqdqd dqqqq nqdqq qqdqq qnqqd jdqqq nqqqd 
nqyqd dqqqq qqdqq dqndq dqdqq dyqqq dqqqq dqqkq qdqqq dddnd qnqdd dddyd qqqjq qdqqd qdqqd dqqqd 
qqqqq qnqdq qqqqq qqqqq qdqdq nqqqq nqqnq qdndq qqqqq qqqqq dqqqn djqqd dqqqq qqdqn qddqq qqqdq 
qqqqq qnqqq qqqqd qdnqq nqdqq nqnqd dynqq dqqdq nqqqq qqddy qqdqn qqqnd qdnqq dnqqd qqddn qqdqq 
