gggyg ggggg ggzgg ggggg ggpyg yggpy gyggp zgggg yyggg ggygy pgggg gyggg ygggg yyfgg yyygg zpygg 
gggpy ggpgp gggyy ygggp ygggg ygyyg ygggg ggggg yyggy ggyyg gggyg yppyg ggggg gypgg ggygp gpyzg 
pgggg gggpg ggpgg ggpgg gpggy ggggg yygzg ypgyg ggggy ggpyg ygggg gpggp gyppg yyggy zgyyy pgjgg 
ggggp ggpgy gygpy ygggp ggggg gyggg gppyg yygyg ygggy yggzy ggygy gpgpg ggyyf ypjgg ggggg gygpz 
ggggy ggggg ggggy ygygy ggggy zgzpy yyygg ygygp ypgzg gpggy ggygg ggggg ggggy ypggy ggggg yggyy 
ggygg yzgpg yyggg gyyyj ggyyy pggyg yggyg ygggg ggygg gyypg yggyf gygyg ggggg gpygy yggyg ggygy 
ggggy gyyyg ygygg ggggy ygggg gypgg pyggg ggggp gyyyg gyggg gpggg gypyp gjygg ggggg pzpyg ggggg 
ggzgp ggygg ygygg gggyp yjygg ygzgg pgggg zgyyg gyygy yggyg ggggg pgpyg ggggg yyggy ggggg ggygg 
ggggg ygggz gyggg gyggy ggpyy gyggg gyggg ggygy gyggg pgggg gyggg gygyp gygyg gypgg gggyg gggyg 
ygggy ggggy ggzgy gggyg gygyg ygpzg ggggg ggpyy gygpg ggggg pggyg gggpg ggygg pgggg ggygp gzggy 
ggyyy gyggg gggyg ggygp pyggy ggggy fygpp ggggg gyggg ggygy ggggz gyggg gygpg gyggg ggyyg gygyz 
pgygg gpygg gpgyg gggyp ggggg gggyg ygggg ygpgg ggyyg gzgyg gyggy gggyz pygyg gyggy fgpgg ggpgg 
ggggg ygpgg gyygg ggggg gpygg gyygg gjpgg ggyyg yyggg yyggp ggygg yypgg ggggg ygyyg ggyyg gpyyg 
gpggg gyyyg gggyg ggfyg gyggg gpggy ggygy zgggg ggggg ygggj gyggg ggggg gyggy ggpgg ggggg ggygy 
ygyyg ggggg yggpz ggygg gpgyg ygggg gggyg ggggg yggfg pyzgg ggggg ggggg ggygg ggggg gygpg yygyg 
gpygy ggggg yyygg gyggp gpggg ygpgg gpggg gpfgg gggyy ygygy ygggg zgyyg ggggg gyggg ggggg ygggg 
ggggg ggggp gpggg ggygy gggyg ggggy ggggg ypggg gggyg gypgy gggpg gggyy gypgy ygggg ggggg gyyyg 
yggyy gpgyg zgygg gggyg ggygg ggggg gygyg yggzy ggggg ggggz zgpyg ggggg gyypp ggggg gyggp ggggg 
